categoria;subcategoria;prestacion;tipo_prestacion;fecha_ingreso;hora_ingreso;domicilio_comuna;domicilio_barrio;domiclio_calle;domicilio_altura;lat;lon;canal;genero;estado_del_contacto;fecha_cierre_contacto;hora_cierre_contacto
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;DENUNCIA;15/03/2021;11:33:09;11;VILLA DEVOTO;LAMARCA, EMILIO;4215.0;-34.5955296166593;-58.5082275050778;GCS Web;Femenino;Cerrado;08/04/2021;10:13:06
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;DENUNCIA;15/03/2021;16:56:42;2;RECOLETA;ALVEAR, MARCELO T. DE;1733.0;-34.5971785758449;-58.3923317395221;App BA 147;Masculino;Cerrado;30/03/2021;12:25:43
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;DENUNCIA;15/03/2021;05:29:41;13;BELGRANO;BLANCO ENCALADA;1441.0;-34.5533672979113;-58.4493178147473;App BA 147;Femenino;Cerrado;19/03/2021;21:40:26
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;DENUNCIA;15/03/2021;00:05:51;14;PALERMO;VEGA, NICETO, CNEL. AV.;5600.0;-34.5868776332753;-58.4392533854075;App BA 147;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;DENUNCIA;15/03/2021;16:21:13;13;BELGRANO;ARCOS;1786.0;-34.5634037269764;-58.4512879798324;GCS Web;Masculino;Cerrado;06/04/2021;09:13:45
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;DENUNCIA;15/03/2021;11:28:17;14;PALERMO;SCALABRINI ORTIZ, RAUL;3136.0;-34.5805042606283;-58.410274868673;GCS Web;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;DENUNCIA;15/03/2021;00:05:38;14;PALERMO;FITZ ROY;1655.0;-34.5845538557701;-58.4366918149309;App BA 147;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;DENUNCIA;15/03/2021;09:20:23;14;PALERMO;VEGA, NICETO, CNEL.;5117.0;-34.5900302778676;-58.434540286688;GCS Web;Masculino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;DENUNCIA;15/03/2021;09:43:04;14;PALERMO;CABRERA, JOSE A.;4223.0;-34.5952597566809;-58.4249125723553;Comuna;Femenino;Abierto;;
RECICLADO Y PROTECCIÓN AMBIENTAL;RUIDOS MOLESTOS, EMANACIONES O DERRAMES;RUIDOS MOLESTOS Y VIBRACIONES;DENUNCIA;15/03/2021;12:07:47;9;MATADEROS;CARDENAS, CNEL. AV.;3008.0;-34.671523229288;-58.4991324418701;GCS Web;Femenino;Abierto;;
