,categoria,subcategoria,prestacion,tipo_prestacion,fecha_ingreso,hora_ingreso,domicilio_comuna,domicilio_barrio,domiclio_calle,domicilio_altura,lat,lon,canal,genero,estado_del_contacto,fecha_cierre_contacto,hora_cierre_contacto
4843,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-15,16:23:35,14,PALERMO,,1975.0,-34.586267929086105,-58.426320882446696,GCS Web,Masculino,Abierto,,
4844,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",MALOS OLORES / HUMOS / GASES TÓXICOS,Denuncia,2021-12-15,11:04:30,4,BARRACAS,,601.0,-34.645773520066,-58.391250873569206,App BA 147,Masculino,Abierto,,
4845,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-15,11:41:50,6,CABALLITO,,52.0,-34.6176614582322,-58.4368956940872,GCS Web,Femenino,Abierto,,
4846,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-15,08:44:33,1,SAN TELMO,,416.0,-34.6160542858466,-58.37197323230829,App BA 147,Masculino,Abierto,,
4847,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-15,19:23:01,12,VILLA URQUIZA,,4141.0,-34.578695669175,-58.4794677751839,GCS Web,Femenino,Abierto,,
4848,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-15,22:02:09,14,PALERMO,,6054.0,-34.5780393207632,-58.438224681158296,App BA 147,Femenino,Abierto,,
4849,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-15,02:52:34,3,BALVANERA,,1965.0,-34.6044004573412,-58.3946807976268,GCS Web,Femenino,Abierto,,
4850,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-15,22:58:35,5,ALMAGRO,,3877.0,-34.6098118199746,-58.4209213459653,App BA 147,Femenino,Cerrado,16/12/2021,00:00:00
4851,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",MALOS OLORES / HUMOS / GASES TÓXICOS,Denuncia,2021-12-15,10:19:46,10,VERSALLES,,6569.0,-34.6315119485447,-58.524527847077,GCS Web,Femenino,Abierto,,
4852,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-15,11:58:34,1,RETIRO,,898.0,-34.5977082826631,-58.3754622558006,App BA 147,Masculino,Cerrado,16/12/2021,00:00:00
4853,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-15,08:43:37,15,CHACARITA,,640.0,-34.5848601430718,-58.454368962421206,App BA 147,Femenino,Abierto,,
4854,RECICLADO Y PROTECCIÓN AMBIENTAL,"RUIDOS MOLESTOS, EMANACIONES O DERRAMES",RUIDOS MOLESTOS Y VIBRACIONES,Denuncia,2021-12-15,09:35:06,12,VILLA PUEYRREDON,,5141.0,-34.5796753344455,-58.501035956855496,GCS Web,Femenino,Abierto,,
